CustomerID,CustomerName,Segment,Region,SignupDate,LoyaltyTier
C00001,Alex Patel,Small Business,West,2019-12-14,None
C00002,Daniel Brown,Consumer,North,2025-09-12,Bronze
C00003,Noah Ali,Consumer,Central,2020-07-10,Silver
C00004,Sofia Martin,Small Business,North,2024-06-27,Bronze
C00005,Amira Davies,Small Business,Central,2019-01-25,None
C00006,Emily Evans,Small Business,South,2024-07-24,None
C00007,Oliver Thomas,Enterprise,South,2024-07-26,Silver
C00008,Liam Wilson,Enterprise,East,2020-04-20,Bronze
C00009,Sam Singh,Enterprise,West,2023-07-24,None
C00010,Liam Wilson,Consumer,West,2023-12-09,Silver
C00011,Liam Ali,Enterprise,South,2019-02-23,Gold
C00012,Sam Walker,Consumer,West,2023-03-17,Bronze
C00013,Noah Wilson,Enterprise,South,2023-08-20,Gold
C00014,Morgan Wilson,Consumer,Central,2025-06-25,Silver
C00015,Sam Johnson,Enterprise,East,2023-08-06,Gold
C00016,Amira Chen,Small Business,South,2025-12-24,Bronze
C00017,Aisha Taylor,Consumer,West,2021-03-27,None
C00018,Aisha Ali,Small Business,Central,2024-06-15,None
C00019,Oliver Walker,Enterprise,North,2025-08-14,Gold
C00020,Maya Walker,Small Business,Central,2021-02-15,None
C00021,Emily Walker,Consumer,North,2023-04-12,Gold
C00022,Sofia Evans,Consumer,South,2022-02-27,Gold
C00023,Robin Khan,Enterprise,South,2025-03-11,Gold
C00024,Fatima Brown,Small Business,Central,2025-12-15,Gold
C00025,Daniel Brown,Enterprise,East,2020-04-05,Bronze
C00026,Amira Wright,Small Business,Central,2025-07-17,Silver
C00027,Emily Martin,Enterprise,East,2020-08-23,Silver
C00028,Liam Thomas,Enterprise,Central,2021-09-09,None
C00029,Sofia Wright,Consumer,South,2020-11-16,None
C00030,Noah Taylor,Consumer,West,2024-06-18,Gold
C00031,Alex Wright,Small Business,South,2021-07-01,None
C00032,Amira Chen,Enterprise,West,2024-06-10,Bronze
C00033,Noah Taylor,Small Business,East,2022-03-06,None
